,CMPSI_NM,CMPSI_SCTIN_NM,소재지전체주소,상세영업상태명,lat,lon,kakao_score,지역
3027,연포분교야영장,일반야영장,강원도 정선군 신동읍 덕천리 436-4번지,폐업,37.25,128.57,2.7,강원도
3028,연포분교야영장,일반야영장,강원도 정선군 신동읍 덕천리 436-4번지 연포분교,영업중,37.25,128.57,2.7,강원도
3029,밤개울캠핑장,일반야영장,강원도 철원군 근남면 육단리 582-1번지,영업중,38.21,127.47,4.0,강원도
3030,깃대 캠핑장,일반야영장,충청북도 보은군 마로면 기대리 791-5,영업중,36.4,127.81,0.0,충청북도
3031,나드리 캠핑장,일반야영장,충청북도 옥천군 청성면 삼남리 452,영업중,36.29,127.74,5.0,충청북도
3032,솔베이캠핑장,일반야영장,충청북도 괴산군 장연면 방곡리 607-4번지 아이뜰관광농원,영업중,36.84,127.9,4.0,충청북도
3033,아이뜰관광농원,자동차야영장,충청북도 괴산군 장연면 방곡리 607-4번지 아이뜰관광농원,영업중,36.84,127.9,2.9,충청북도
3034,개차반캠핑장,일반야영장,충청북도 괴산군 사리면 소매리 324-3,영업중,36.84,127.67,0.0,충청북도
3035,갈론계곡캠핑장,일반야영장,충청북도 괴산군 칠성면 사은리 181번지,영업중,36.74,127.85,4.0,충청북도
3036,원남지야영장,일반야영장,충청북도 음성군 원남면 조촌리 930,영업중,36.87,127.6,3.0,충청북도
3037,한스빌리지,일반야영장,충청북도 단양군 가곡면 대대리 147번지,영업중,37.0,128.42,0.0,충청북도
3038,소백산 신선펜션 & 캠핑,자동차야영장,충청북도 단양군 가곡면 대대리 147번지,영업중,37.0,128.42,5.0,충청북도
3039,캠핑하우스,일반야영장,충청남도 천안시 동남구 용곡동 316-14,영업중,36.79,127.14,1.0,충청남도
3040,정안 글램핑,일반야영장,충청남도 공주시 정안면 광정리 287-5,영업중,36.61,127.12,5.0,충청남도
3041,더반 힐 글램핑,일반야영장,충청남도 보령시 오천면 영보리 392-4,영업중,36.42,126.5,2.0,충청남도
3042,팔봉갯벌체험야영장,일반야영장,충청남도 서산시 팔봉면 호리 51,영업중,36.86,126.34,0.0,충청남도
3043,관리도캠핑장,일반야영장,전라북도 군산시 옥도면 관리도리 66번지,영업중,35.82,126.37,4.5,전라북도
3044,수류산골야영장,일반야영장,전라북도 김제시 금산면 금성리 267번지,영업중,35.69,127.04,0.0,전라북도
3045,비채야영장,일반야영장,전라북도 완주군 동상면 사봉리 921,영업중,35.93,127.31,0,전라북도
3046,무주 향로산 자연휴양림,일반야영장,전라북도 무주군 무주읍 오산리 산 106,영업중,36.02,127.67,3.5,전라북도
3047,옥수골계곡펜션야영장,일반야영장,전라북도 무주군 적상면 포내리 291,휴업,35.97,127.72,0,전라북도
